reading_id,tag_id,belt_id,reading_ts,fe_pct,moisture_pct,tonnage_tph,sensor_status,ingested_at,source_system
79,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
80,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
81,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:40:10.088Z,GeoScan Analyser
82,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:40:10.088Z,GeoScan Analyser
83,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
84,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:40:10.088Z,GeoScan Analyser
85,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:40:10.088Z,GeoScan Analyser
86,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
87,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
88,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
89,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
90,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
91,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:40:10.088Z,GeoScan Analyser
66,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
67,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
68,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:35:44.597Z,GeoScan Analyser
69,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:35:44.597Z,GeoScan Analyser
70,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
71,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:35:44.597Z,GeoScan Analyser
72,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:35:44.597Z,GeoScan Analyser
73,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
74,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
75,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
76,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
77,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
78,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:35:44.597Z,GeoScan Analyser
27,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
28,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
29,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:26:41.889Z,GeoScan Analyser
30,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:26:41.889Z,GeoScan Analyser
31,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
32,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:26:41.889Z,GeoScan Analyser
33,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:26:41.889Z,GeoScan Analyser
34,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
35,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
36,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
37,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
38,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
39,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:26:41.889Z,GeoScan Analyser
1,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
2,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
3,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:24:54.124Z,GeoScan Analyser
4,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:24:54.124Z,GeoScan Analyser
5,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
6,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:24:54.124Z,GeoScan Analyser
7,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:24:54.124Z,GeoScan Analyser
8,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
9,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
10,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
11,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
12,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
13,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:24:54.124Z,GeoScan Analyser
14,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
15,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
16,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:26:06.740Z,GeoScan Analyser
17,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:26:06.740Z,GeoScan Analyser
18,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
19,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:26:06.740Z,GeoScan Analyser
20,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:26:06.740Z,GeoScan Analyser
21,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
22,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
23,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
24,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
25,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
26,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:26:06.740Z,GeoScan Analyser
53,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
54,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
55,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:29:29.105Z,GeoScan Analyser
56,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:29:29.105Z,GeoScan Analyser
57,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
58,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:29:29.105Z,GeoScan Analyser
59,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:29:29.105Z,GeoScan Analyser
60,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
61,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
62,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
63,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
64,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
65,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:29:29.105Z,GeoScan Analyser
40,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
41,TAG-001,BELT-A,2026-08-13 06:01:00,62.10,4.20,1450.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
42,TAG-001,belt-a,2026-08-13T06:02:00,62.30,4.10,1460.00,ok,2026-08-14T08:28:55.067Z,GeoScan Analyser
43,TAG-001,BELT-A,2026-08-13 06:03:00,null,null,null,DROPOUT,2026-08-14T08:28:55.067Z,GeoScan Analyser
44,TAG-001,BELT-A,2026-08-13 06:04:00,61.90,4.30,1440.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
45,TAG-001,BELT-A,13/08/2026 06:05,999.90,-4.00,1470.00,OUT_OF_RANGE,2026-08-14T08:28:55.067Z,GeoScan Analyser
46,null,BELT-A,2026-08-13 06:06:00,62.00,4.15,1455.00,null,2026-08-14T08:28:55.067Z,GeoScan Analyser
47,TAG-002,BELT-B,2026-08-13 06:01:00,60.50,5.10,1300.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
48,TAG-002,BELT-B ,2026-08-13 06:02:00,60.70,5.00,1310.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
49,TAG-002,BELT-B,2026-08-13 07:15:00,60.80,4.90,1320.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
50,TAG-002,BELT-B,2026-08-13 07:16:00,58.20,4.95,-50.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
51,TAG-003,BELT-C,2026-08-13 06:30:00,61.10,4.60,1390.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
52,TAG-003,BELT-C,null,61.20,4.55,1395.00,OK,2026-08-14T08:28:55.067Z,GeoScan Analyser
