sample_id,bed_id,sample_ts,fe_pct,fine_pct,lump_pct,lab_analyst,ingested_at,source_system
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:25:03.005Z,StarLIMS
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:29:31.255Z,StarLIMS
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:26:08.699Z,StarLIMS
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:26:43.959Z,StarLIMS
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:35:46.538Z,StarLIMS
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:40:11.897Z,StarLIMS
SMP-1001,BED-01,2026-08-13 05:00:00,63.10,68.00,32.00,T. Ndlovu,2026-08-14T08:28:56.973Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,t. ndlovu,2026-08-14T08:28:56.973Z,StarLIMS
SMP-1002,BED-01,2026-08-13 07:00:00,62.90,66.50,33.50,T. Ndlovu,2026-08-14T08:28:56.973Z,StarLIMS
SMP-1003,BED-02,2026-08-13 05:00:00,61.40,70.00,25.00,K. Petersen,2026-08-14T08:28:56.973Z,StarLIMS
SMP-1004,bed-02,2026-08-13 09:00:00,61.80,71.20,28.80,,2026-08-14T08:28:56.973Z,StarLIMS
SMP-1005,BED-03,2026-08-13T05:00:00,null,null,null,T. Ndlovu,2026-08-14T08:28:56.973Z,StarLIMS
SMP-1006,null,2026-08-13 11:00:00,62.50,65.00,35.00,K. Petersen,2026-08-14T08:28:56.973Z,StarLIMS
