block_id,snapshot_date,block_name,opening_tonnes,fe_pct_estimate,ingested_at,source_system
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:35:50.276Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:35:50.276Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:35:50.276Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:35:50.276Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:35:50.276Z,Reconcilor Block Model
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:40:15.301Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:40:15.301Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:40:15.301Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:40:15.301Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:40:15.301Z,Reconcilor Block Model
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:26:12.383Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:26:12.383Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:26:12.383Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:26:12.383Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:26:12.383Z,Reconcilor Block Model
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:29:35.178Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:29:35.178Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:29:35.178Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:29:35.178Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:29:35.178Z,Reconcilor Block Model
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:25:07.281Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:25:07.281Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:25:07.281Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:25:07.281Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:25:07.281Z,Reconcilor Block Model
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:26:47.642Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:26:47.642Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:26:47.642Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:26:47.642Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:26:47.642Z,Reconcilor Block Model
BLK-100,2026-08-10,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:29:00.353Z,Reconcilor Block Model
BLK-100,10/08/2026,Pit 3 Bench 4 Block A,5000.00,62.50,2026-08-14T08:29:00.353Z,Reconcilor Block Model
BLK-101,2026-08-10,Pit 3 Bench 4 Block B,4200.00,null,2026-08-14T08:29:00.353Z,Reconcilor Block Model
BLK-102,2026-08-10,null,null,61.00,2026-08-14T08:29:00.353Z,Reconcilor Block Model
blk-100,2026-08-17,Pit 3 Bench 4 Block A,4700.00,62.10,2026-08-14T08:29:00.353Z,Reconcilor Block Model
