load_id,truck_id,source_block_id,dest_stockpile_id,load_ts,tonnes,material_type,ingested_at,source_system
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5002,trk-12,BLK-100,SP-01,2026-08-13 07:40:00,175.50,ore,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5003,TRK-11,BLK-101,SP-02,2026-08-13 08:05:00,182.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5004,TRK-13,BLK-100,SP-01,2026-08-13 09:20:00,0.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5005,TRK-12,SP-01,null,2026-08-13 10:00:00,90.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5006,TRK-14,BLK-999,SP-01,2026-08-13 10:30:00,150.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5007,TRK-15,BLK-100,SP-01,2026-08-13 11:00:00,-20.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
null,TRK-16,BLK-101,SP-02,2026-08-13 11:30:00,160.00,ORE,2026-08-14T08:28:58.683Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5002,trk-12,BLK-100,SP-01,2026-08-13 07:40:00,175.50,ore,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5003,TRK-11,BLK-101,SP-02,2026-08-13 08:05:00,182.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5004,TRK-13,BLK-100,SP-01,2026-08-13 09:20:00,0.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5005,TRK-12,SP-01,null,2026-08-13 10:00:00,90.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5006,TRK-14,BLK-999,SP-01,2026-08-13 10:30:00,150.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5007,TRK-15,BLK-100,SP-01,2026-08-13 11:00:00,-20.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
null,TRK-16,BLK-101,SP-02,2026-08-13 11:30:00,160.00,ORE,2026-08-14T08:25:05.141Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5002,trk-12,BLK-100,SP-01,2026-08-13 07:40:00,175.50,ore,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5003,TRK-11,BLK-101,SP-02,2026-08-13 08:05:00,182.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5004,TRK-13,BLK-100,SP-01,2026-08-13 09:20:00,0.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5005,TRK-12,SP-01,null,2026-08-13 10:00:00,90.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5006,TRK-14,BLK-999,SP-01,2026-08-13 10:30:00,150.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5007,TRK-15,BLK-100,SP-01,2026-08-13 11:00:00,-20.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
null,TRK-16,BLK-101,SP-02,2026-08-13 11:30:00,160.00,ORE,2026-08-14T08:29:33.261Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5002,trk-12,BLK-100,SP-01,2026-08-13 07:40:00,175.50,ore,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5003,TRK-11,BLK-101,SP-02,2026-08-13 08:05:00,182.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5004,TRK-13,BLK-100,SP-01,2026-08-13 09:20:00,0.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5005,TRK-12,SP-01,null,2026-08-13 10:00:00,90.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5006,TRK-14,BLK-999,SP-01,2026-08-13 10:30:00,150.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5007,TRK-15,BLK-100,SP-01,2026-08-13 11:00:00,-20.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
null,TRK-16,BLK-101,SP-02,2026-08-13 11:30:00,160.00,ORE,2026-08-14T08:26:45.853Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5002,trk-12,BLK-100,SP-01,2026-08-13 07:40:00,175.50,ore,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5003,TRK-11,BLK-101,SP-02,2026-08-13 08:05:00,182.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5004,TRK-13,BLK-100,SP-01,2026-08-13 09:20:00,0.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5005,TRK-12,SP-01,null,2026-08-13 10:00:00,90.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5006,TRK-14,BLK-999,SP-01,2026-08-13 10:30:00,150.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5007,TRK-15,BLK-100,SP-01,2026-08-13 11:00:00,-20.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
null,TRK-16,BLK-101,SP-02,2026-08-13 11:30:00,160.00,ORE,2026-08-14T08:35:48.667Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5002,trk-12,BLK-100,SP-01,2026-08-13 07:40:00,175.50,ore,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5003,TRK-11,BLK-101,SP-02,2026-08-13 08:05:00,182.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5004,TRK-13,BLK-100,SP-01,2026-08-13 09:20:00,0.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5005,TRK-12,SP-01,null,2026-08-13 10:00:00,90.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5006,TRK-14,BLK-999,SP-01,2026-08-13 10:30:00,150.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5007,TRK-15,BLK-100,SP-01,2026-08-13 11:00:00,-20.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
null,TRK-16,BLK-101,SP-02,2026-08-13 11:30:00,160.00,ORE,2026-08-14T08:40:13.553Z,Dispatch/SORD
LOAD-5001,TRK-11,BLK-100,SP-01,2026-08-13 06:10:00,180.00,ORE,2026-08-14T08:26:10.522Z,Dispatch/SORD
